PercLoss train,DiscLoss train,PSNR train,SSIM train,PercLoss val,DiscLoss val,PSNR val,SSIM val
0.1403078522,0.4174949896,23.11778086,0.7912,0.131,0.3709,21.88819695,0.7507
0.15150872,0.190836828,21.7686343,0.7415,0.1389,0.1848,20.96948624,0.7221
0.1470781927,0.2721952085,23.01813353,0.7829,0.1382,0.2518,21.45723724,0.7382
0.1661996176,0.3733239537,21.45244638,0.7382,0.1386,0.3499,19.81669617,0.6746
0.1455349339,0.1776954095,24.17679992,0.828,0.1342,0.1734,22.27235985,0.76
0.1529615999,0.4954858032,22.89922415,0.7803,0.1444,0.4863,21.7112484,0.7438
0.1450623209,0.489707325,21.58823792,0.7402,0.136,0.4738,20.10142899,0.6896
0.1413996337,0.1335268746,19.26844431,0.6612,0.1381,0.1147,18.94074631,0.6537
0.1435624433,0.2349022298,21.80544844,0.7443,0.1399,0.219,21.60380936,0.7363
0.1484868988,0.2411588821,23.12817865,0.7882,0.1366,0.2279,21.52373886,0.7398
0.1486332245,0.2514314943,22.18605567,0.7551,0.1368,0.2327,19.94497681,0.6807
0.1588582879,0.3744214527,23.23192088,0.7933,0.1424,0.3635,20.94834518,0.7126
0.1376218061,0.3629124492,22.6809164,0.7736,0.1357,0.3458,21.83120728,0.75
0.1549417001,0.6247545436,21.43338351,0.7323,0.1398,0.6129,21.2345047,0.7311
0.158686779,0.2803723208,23.25217621,0.7937,0.1394,0.2769,21.58782578,0.7377
0.1505728412,0.3099331111,23.14260256,0.795,0.1368,0.3009,21.91432571,0.7493
0.1477984952,0.319172029,24.55448579,0.8405,0.138,0.3019,23.03645706,0.7844
0.144968068,0.3095042723,22.80558949,0.7776,0.1375,0.2981,22.56869316,0.7687
0.1384002858,0.2415475895,22.26657618,0.7585,0.1365,0.2252,21.3413887,0.7338
0.1473860705,0.2390196694,22.7938177,0.778,0.1385,0.2333,22.51853371,0.7678
0.1488924017,0.2931400536,23.40736598,0.8038,0.1376,0.2888,22.18470764,0.7577
0.1587236846,0.379285143,23.87372715,0.8165,0.1408,0.3631,23.0145874,0.7905
0.1514563346,0.321329463,24.58424461,0.8387,0.137,0.3032,22.28361511,0.7657
0.1455994426,0.3489987993,24.62143925,0.8398,0.1327,0.3423,23.29386139,0.7995
0.1346668901,0.3471137808,25.89371328,0.8811,0.1308,0.3469,24.1760807,0.825
0.1434688388,0.1310178958,23.80483308,0.81,0.132,0.1277,22.2108326,0.7611
0.1425125065,0.3095621553,21.96834279,0.7569,0.1374,0.2918,20.97812271,0.7165
0.1532885525,0.2341979475,23.02472742,0.7915,0.1344,0.2185,21.84186745,0.7447
0.1535428726,0.2904177535,23.22686735,0.7898,0.1377,0.2809,22.34445763,0.7621
0.1528162306,0.3030098717,22.76223609,0.7837,0.1349,0.2835,21.13306618,0.7233
0.1496814421,0.2266357777,24.84110607,0.8516,0.1393,0.2106,23.05904007,0.7872
0.1573237769,0.2782010824,24.15771976,0.8224,0.1398,0.2592,23.35825539,0.7948
0.1554859633,0.2656366992,24.03051575,0.8263,0.1363,0.2652,22.18533707,0.7575
0.1389535791,0.3346750615,24.78207179,0.8514,0.1355,0.3202,24.63867378,0.8458
0.1447322217,0.2995652062,23.92694106,0.8195,0.1381,0.2858,22.76939011,0.7794
0.1364096377,0.3060842845,22.89074765,0.7852,0.1344,0.2902,21.81444168,0.7431
0.1515668232,0.3055164503,24.22446012,0.8242,0.1349,0.2862,22.21060753,0.7622
0.1421123016,0.2648392969,20.93037588,0.719,0.1354,0.2587,20.30704117,0.6999
0.1525685666,0.3054798595,23.71654813,0.8162,0.1357,0.2981,21.57402992,0.738
0.1418321659,0.2871204808,22.76848944,0.7815,0.1361,0.268,22.29317856,0.7622
0.1499318285,0.2560266635,24.89595566,0.8548,0.1341,0.2365,22.57412338,0.7769
0.1382438092,0.2350394046,19.85868394,0.6821,0.1339,0.2215,19.81668854,0.6818
0.1527088726,0.2636122976,22.37523868,0.7685,0.1374,0.2547,21.98818207,0.7492
0.1358043242,0.3034468979,24.62312769,0.8452,0.134,0.2851,22.75513077,0.7751
0.1394032219,0.3142736466,23.9172594,0.8168,0.1381,0.2948,22.58325768,0.7707
0.1410782511,0.2425509096,21.26689491,0.7314,0.1364,0.2278,20.71171761,0.7109
0.1476876404,0.2037805901,23.1563158,0.7891,0.136,0.1967,22.572855,0.7732
0.1316253326,0.2920270942,22.16368827,0.761,0.1315,0.2737,21.54446793,0.7413
0.1322349512,0.294371122,25.39757525,0.8713,0.1306,0.2797,23.99765396,0.8163
0.1467788158,0.2948296676,24.0508711,0.8272,0.1345,0.2856,22.07080841,0.7566
0.148217385,0.2649914323,24.47130293,0.8331,0.136,0.2535,22.05879593,0.7585
0.135320526,0.2778027192,23.31994759,0.798,0.1307,0.2638,22.68937111,0.7724
0.1516824131,0.2087213043,26.02497017,0.885,0.1344,0.1943,23.73915672,0.8094
0.1331679803,0.2718285861,21.78747907,0.745,0.1321,0.2652,21.5311985,0.7326
0.1340946451,0.2384480148,24.46532643,0.8351,0.1293,0.2255,22.22345161,0.756
0.1386041498,0.2361184119,25.38431614,0.8714,0.1376,0.2314,23.03077507,0.7902
0.145801374,0.2009281838,23.87860872,0.8179,0.1336,0.186,22.21391869,0.7578
0.1513903813,0.3581513691,24.11388016,0.8276,0.1322,0.3507,23.76002121,0.8154
0.1317032391,0.2050286899,24.52192883,0.8338,0.1294,0.1956,23.73456573,0.8099
0.1480082808,0.2012165564,25.13975294,0.8618,0.1343,0.2001,23.49159241,0.7991
0.1422733434,0.1500594513,23.95967159,0.8187,0.1291,0.1325,22.46482277,0.7734
0.1372902649,0.2641310034,23.52616325,0.8024,0.1324,0.2593,21.84137917,0.7453
0.1552624506,0.1865095041,23.43783877,0.799,0.1355,0.177,23.05035019,0.79
0.1540468449,0.1993368626,22.46975148,0.7665,0.1345,0.1794,21.66280365,0.7426
0.1432617314,0.2836930252,24.46569963,0.8327,0.1351,0.2702,22.29472923,0.7593
0.1525197431,0.168771496,26.22011364,0.8975,0.1331,0.1675,23.72481918,0.8084
0.1555873539,0.2549356996,22.71379356,0.7725,0.137,0.2421,21.77867126,0.7454
0.149534481,0.294719059,23.31755594,0.7981,0.1343,0.2804,22.73194313,0.7764
0.1410351405,0.2418286704,21.35377959,0.7329,0.1332,0.2377,18.96460342,0.6548
0.1307573831,0.1790671329,24.39462081,0.8386,0.1304,0.1597,22.4300499,0.7674
0.1322730244,0.2569043202,22.09998068,0.7556,0.1279,0.2562,21.24396896,0.7305
0.1371557843,0.2183952238,22.70592275,0.7811,0.1311,0.2082,20.52356911,0.7055
0.1441511692,0.2191147387,24.1213059,0.8233,0.1313,0.2087,22.19364357,0.7606
0.139904918,0.2538143346,23.81329818,0.8123,0.1332,0.2425,21.50115204,0.7313
0.1471839074,0.1828020848,23.88682142,0.8208,0.1338,0.1739,22.56347084,0.7673
0.1480812435,0.3112716041,23.46613031,0.8014,0.1343,0.2983,22.68047142,0.7776
0.1415761564,0.1129345851,22.93059718,0.7806,0.128,0.1093,20.92269516,0.7187
0.1355431667,0.2097569422,21.38988399,0.735,0.1298,0.1913,20.76874352,0.7125
0.1379241485,0.1681497223,22.38080051,0.7653,0.1306,0.1485,21.73079872,0.7419
0.1448519622,0.1966380165,21.79130145,0.7424,0.1315,0.1837,21.72438431,0.7411
0.154923296,0.1439167414,24.41723334,0.8352,0.1363,0.1387,23.34931946,0.7949
0.1380665136,0.2098565707,24.43338867,0.8367,0.1372,0.1907,23.11604691,0.7895
0.1459842278,0.1598360049,23.11429727,0.7934,0.13,0.14,21.6087532,0.7392
0.1512060482,0.2001062328,23.96116829,0.8198,0.1313,0.1874,21.63256454,0.744
0.1367236121,0.3012774757,20.31650621,0.6939,0.1328,0.2875,20.16778374,0.695
0.1463786017,0.2157554248,22.93045347,0.7798,0.1269,0.2048,22.62527084,0.7712
0.1318037603,0.151781724,25.33095657,0.8664,0.1288,0.1431,24.06695175,0.8266
0.1288953195,0.1860670149,23.42977929,0.804,0.1285,0.1806,21.49836731,0.7402
0.1456012979,0.1357738761,23.55481754,0.8059,0.1306,0.1319,21.88692665,0.7484
0.1399201483,0.12829978,22.7661651,0.7775,0.1294,0.127,22.11533737,0.7549
0.1372598673,0.2108559141,23.12314894,0.7875,0.136,0.1913,22.72319031,0.7788
0.1413417713,0.2294687604,21.44327054,0.7319,0.124,0.2205,21.3288517,0.7264
0.1318069584,0.1957401471,22.81054847,0.7794,0.1301,0.1929,22.18066406,0.7636
0.1292131016,0.1570180842,25.02106528,0.8555,0.1269,0.147,22.60119629,0.7744
0.1415850457,0.174073636,21.70431596,0.7424,0.1303,0.1662,21.28870583,0.7249
0.1364090201,0.2234589883,25.95069015,0.8906,0.1302,0.2166,23.55946732,0.8014
0.1481693308,0.1868993266,23.31154537,0.8006,0.1313,0.1773,22.50951767,0.7693
0.1359436101,0.1672984408,22.83471037,0.7854,0.1328,0.151,22.0121727,0.7561